代號,名稱,年/月,  現金及約當現金,  應收帳款及票據,  其他應收款,  不動產廠房及設備,  商譽及無形資產合計,    使用權資產,    投資性不動產淨額,  其他非流動資產,資產總額,  應付帳款及票據,  其他應付款,  特別股負債－非流動,  應付公司債－非流動,  其他長期借款－非流動,  租賃負債－非流動,  負債準備－非流動,負債總額,    普通股股本,    特別股股本,    預收股款,    待分配股票股利,  股本,  資本公積合計,  保留盈餘,  其他權益,  庫藏股票帳面值,股東權益總額,負債及股東權益總額
2892,第一金,Jun-23,"44,762,967","22,122,580","73,995,908","27,457,554","965,550","2,507,041","12,120,780","4,463,893","4,259,284,415","34,179,321","72,424,915",0,"62,350,000","3,900,000","2,377,962","71,353,691","4,023,826,583","132,234,423",0,0,"3,967,032","136,201,455","26,107,218","59,827,817","13,321,342",0,"235,457,832","4,259,284,415"
5880,合庫金,Jun-23,"57,648,453","12,083,627","54,967,428","32,731,369","4,185,161","1,712,049","10,945,270","3,235,253","4,635,315,295","11,911,908","56,202,144",0,"82,790,000","10,103,100","1,669,106","34,101,196","4,402,950,327","140,089,354",0,0,"7,004,468","147,093,822","45,650,994","47,361,268","-13,343,363",0,"232,364,968","4,635,315,295"
2880,華南金,Mar-23,"30,112,222","12,112,632","51,272,746","32,740,223","1,002,097","2,107,581","12,563,362","5,116,292","3,676,923,802","11,333,455","41,152,148",0,"79,585,214","1,625,000","2,138,974","24,400,601","3,483,930,937","136,427,459",0,0,0,"136,427,459","17,758,986","53,932,732","-15,128,518",0,"192,992,865","3,676,923,802"
2881,富邦金,Mar-23,"226,605,917","47,762,545","242,158,990","65,324,631","33,748,917","9,495,559","308,387,538","60,762,211","10,629,619,411","31,857,724","149,615,542",0,"263,590,565","21,268,809","21,023,974","4,690,937,510","9,907,429,668","123,952,126","15,999,900",0,0,"139,952,026","170,933,870","494,747,571","-92,519,265",0,"722,189,743","10,629,619,411"
2882,國泰金,Mar-23,"424,399,997","110,913,646","215,802,304","108,840,710","51,059,230","5,188,427","449,882,148","78,116,647","12,248,224,192",,"75,657,769",0,"132,146,179","12,661,567","19,414,697","6,856,818,289","11,552,377,030","146,692,102","15,333,000",0,0,"162,025,102","215,335,184","461,828,927","-156,777,802",0,"695,847,162","12,248,224,192"
2883,開發金,Mar-23,"92,202,111","56,101,347","139,184,286","34,290,391","18,196,209","12,554,357","57,557,240","83,699,191","3,554,801,720","67,540,846","104,019,777",0,"91,592,489","26,716,610","4,575,681","2,089,018,179","3,321,738,450","168,430,886","15,821,424",0,0,"184,252,310","33,618,500","68,458,639","-53,391,020",0,"233,063,270","3,554,801,720"
2884,玉山金,Mar-23,"45,517,957","6,613,146","118,966,103","34,597,628","6,167,181","7,090,132","1,825,819","14,532,792","3,427,271,056","7,101,533","37,162,089",0,"45,750,000","2,810,317","4,228,114","1,077,955","3,222,387,658","142,751,000",0,0,"179,000","142,930,000","26,345,824","39,626,840","-4,188,297",0,"204,883,398","3,427,271,056"
2885,元大金,Mar-23,"71,737,125","49,548,956","227,262,991","25,570,730","30,840,550","11,509,936","10,682,580","63,657,311","3,105,546,103","118,005,784","160,397,007",0,"102,187,753","42,164,672","4,715,758","366,514,360","2,816,443,282","125,015,590",0,0,0,"125,015,590","38,066,502","105,954,051","-525,291",0,"289,102,821","3,105,546,103"
2886,兆豐金,Mar-23,"111,824,874","28,930,777","84,534,486","21,545,752","1,259,370","1,897,350","1,540,659","6,354,807","4,085,771,162","25,626,422","85,029,993",0,"20,500,000","14,060,802","1,948,049","29,053,590","3,770,653,917","139,398,196",0,0,0,"139,398,196","68,194,233","118,205,195","-10,680,379",0,"315,117,245","4,085,771,162"
2887,台新金,Mar-23,"34,189,578","74,779,767","148,426,536","25,910,106","3,496,754","2,512,364","3,804,678","13,931,289","2,892,397,609","23,065,474","46,249,905",0,"68,050,887","12,018,491","2,630,458","229,172,477","2,681,504,722","119,741,476","11,000,000",0,0,"130,741,476","38,197,778","46,205,593","-4,278,119",0,"210,892,887","2,892,397,609"
2888,新光金,Mar-23,"56,994,181","29,696,578","82,606,193","39,952,743","3,641,330","4,735,877","184,070,546","46,180,944","4,834,935,973","18,650,927","41,110,498",0,"58,000,000","3,594,588","11,531,360","3,292,805,745","4,609,643,201","154,876,182","2,970,000",0,0,"157,846,182","18,276,795","84,563,914","-35,828,362",0,"225,292,772","4,834,935,973"
2889,國票金,Mar-23,"3,470,106","11,766,279","31,474,719","7,240,866","256,940","147,192","264,820","4,799,695","357,844,285","11,338,020","14,826,564",0,0,0,"144,898","1,742,288","314,209,537","34,473,840",0,0,0,"34,473,840","234,007","5,046,461","-1,705,802",0,"43,634,748","357,844,285"
2890,永豐金,Mar-23,"35,811,371","16,590,556","99,184,714","13,213,378","2,325,197","3,539,563","2,360,831","24,836,765","2,684,163,541","23,348,143","54,339,484","18,437","71,243,595","6,660,713","3,019,951","2,976,226","2,510,402,406","121,337,646",0,0,0,"121,337,646","6,129,361","56,802,005","-10,507,877",0,"173,761,135","2,684,163,541"
2891,中信金,Mar-23,"112,687,606","102,872,971","229,126,237","48,762,425","39,213,458","17,021,768","104,036,146","54,744,129","7,861,850,737","6,995,944","109,439,171",0,"134,426,641",0,"16,337,940","1,846,846,817","7,436,980,713","195,838,008","4,999,900",0,0,"200,837,908","59,395,602","196,382,946","-55,304,758",0,"424,870,024","7,861,850,737"
2892,第一金,Mar-23,"50,127,067","5,134,460","55,169,464","27,576,657","1,013,571","2,400,979","12,130,235","4,811,681","4,258,760,481","22,721,389","53,922,231",0,"62,350,000","6,300,000","2,251,133","70,481,968","4,022,288,527","132,234,423",0,0,0,"132,234,423","26,107,218","67,815,046","10,315,267",0,"236,471,954","4,258,760,481"
5880,合庫金,Mar-23,"64,181,231","9,657,222","43,730,601","32,899,928","4,165,587","1,554,239","11,022,467","3,444,187","4,630,159,989","9,356,142","58,346,854",0,"82,790,000","9,283,261","1,537,426","32,988,981","4,397,908,043","140,089,354",0,0,0,"140,089,354","57,977,016","43,926,011","-15,333,767",0,"232,251,946","4,630,159,989"
