代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,稅前淨利,所得稅費用,合併總損益,其他綜合損益－OCI,本期綜合損益總額,每股盈餘,加權平均股數,發放特別股股息,常續性稅後淨利
5880,合庫金,Mar-22,"11,556,147","6,513,875","12,467,292","5,281,286","804,373","4,476,913","-6,820,305","-2,343,392",0.32,"13,600,908",0,"4,476,913"
2880,華南金,Dec-21,"51,072,538","28,093,730","36,596,622","19,536,727","2,330,406","17,206,321","-2,497,076","14,709,245",1.3,"13,194,145",0,"17,206,321"
2881,富邦金,Dec-21,"485,832,177","71,872,868","168,724,610","165,589,399","18,354,467","147,234,932","18,561,610","165,796,542",12.49,"11,342,345","2,915,986","147,503,670"
2882,國泰金,Dec-21,"625,962,605","85,543,474","207,813,024","159,526,371","18,637,061","140,889,310","-94,275,862","46,613,448",10.34,"13,169,210","3,390,924","140,889,310"
2883,開發金,Dec-21,"192,278,170","35,016,319","69,225,228","52,199,699","5,100,224","47,099,475","-32,944,620","14,154,855",2.34,"14,969,971",0,"38,721,599"
2884,玉山金,Dec-21,"57,897,440","31,808,398","35,482,114","23,959,439","3,373,936","20,585,503","-642,507","19,942,996",1.54,"13,350,914",0,"20,563,421"
2885,元大金,Dec-21,"119,240,503","53,263,626","36,986,068","44,141,344","6,950,633","37,190,711","-6,141,800","31,048,911",2.87,"12,137,436",0,"37,190,711"
2886,兆豐金,Dec-21,"60,230,846","29,605,479","42,796,556","28,656,413","2,925,343","25,731,070","-2,433,425","23,297,645",1.89,"13,599,824",0,"25,722,727"
2887,台新金,Dec-21,"63,764,098","28,300,132","32,637,405","23,155,501","2,856,788","20,298,713","-491,932","19,806,781",1.63,"11,409,326","1,757,500","20,298,713"
2888,新光金,Dec-21,"216,512,146","29,410,903","108,110,074","18,441,707","-4,288,783","22,730,490","-5,366,032","17,364,458",1.67,"13,402,999","261,450","22,730,490"
2889,國票金,Dec-21,"10,163,867","4,517,024","3,435,284","5,495,755","890,705","4,605,050","-1,165,141","3,439,909",1.3,"2,987,509",0,"4,603,977"
2890,永豐金,Dec-21,"45,703,242","24,827,129","31,179,949","18,649,230","2,438,225","16,211,005","-1,387,147","14,823,858",1.44,"11,271,054",0,"16,211,005"
2891,中信金,Dec-21,"186,057,824","72,364,266","123,445,736","62,044,158","8,045,945","53,998,213","-6,710,113","47,288,100",2.73,"19,496,990","1,069,980","54,028,952"
2892,第一金,Dec-21,"62,604,429","26,274,683","44,846,079","23,433,444","3,694,399","19,739,045","-4,846,835","14,892,210",1.52,"12,964,159",0,"19,744,145"
5880,合庫金,Dec-21,"54,412,693","27,667,803","49,330,655","24,428,522","3,216,792","21,211,730","-4,493,669","16,718,061",1.51,"13,600,908",0,"21,008,485"
2880,華南金,Sep-21,"39,308,310","20,988,758","27,095,084","15,852,581","1,668,454","14,184,127","-2,407,866","11,776,261",1.08,"13,194,145",0,"14,184,127"
2881,富邦金,Sep-21,"380,040,341","51,071,766","124,557,261","149,925,246","16,742,442","133,182,804","-20,765,138","112,417,666",11.38,"11,240,469","2,915,986","133,182,804"
2882,國泰金,Sep-21,"477,589,050","62,572,371","154,940,407","138,078,189","15,708,729","122,369,460","-119,759,451","2,610,009",8.98,"13,169,210","3,390,924","122,369,460"
2883,開發金,Sep-21,"148,321,484","27,182,938","52,126,791","45,967,098","3,982,539","41,984,559","-40,835,888","1,148,671",2.05,"14,944,429",0,"33,610,253"
2884,玉山金,Sep-21,"43,228,903","23,571,579","26,131,619","18,578,025","2,678,751","15,899,274","-680,071","15,219,203",1.19,"13,349,671",0,"15,899,274"
2885,元大金,Sep-21,"96,266,141","41,034,299","27,368,879","37,371,975","6,421,314","30,950,661","-6,621,797","24,328,864",2.33,"12,137,436",0,"30,950,661"
2886,兆豐金,Sep-21,"45,165,090","22,235,867","31,964,288","22,549,994","2,844,376","19,705,618","-1,351,866","18,353,752",1.45,"13,599,824",0,"19,704,685"
2887,台新金,Sep-21,"47,271,034","20,682,825","24,065,592","20,307,982","2,503,812","17,804,170","-1,214,452","16,589,718",1.45,"11,409,306","1,314,514","17,804,170"
2888,新光金,Sep-21,"170,281,486","20,869,898","80,353,745","17,604,233","-4,050,952","21,655,185","-17,097,921","4,557,264",1.62,"13,172,894","261,450","21,655,185"
2889,國票金,Sep-21,"7,708,105","3,257,189","2,554,789","4,403,991","855,812","3,548,179","-776,426","2,771,753",1.03,"2,987,509",0,"3,547,105"
2890,永豐金,Sep-21,"35,147,341","18,812,365","23,186,566","14,762,635","1,968,519","12,794,116","-1,127,852","11,666,264",1.14,"11,271,054",0,"12,794,116"
2891,中信金,Sep-21,"136,390,553","53,116,727","91,395,592","53,379,776","6,904,085","46,475,691","-15,460,174","31,015,517",2.33,"19,496,990","1,069,980","46,475,691"
2892,第一金,Sep-21,"47,397,244","18,852,535","32,971,617","19,463,874","2,942,512","16,521,362","-3,120,350","13,401,012",1.27,"12,964,159",0,"16,525,670"
5880,合庫金,Sep-21,"41,556,165","19,725,970","37,006,935","19,508,794","3,044,893","16,463,901","-1,865,481","14,598,420",1.17,"13,600,908",0,"16,463,901"
2880,華南金,Jun-21,"25,308,214","14,093,865","17,904,705","10,415,580","1,130,180","9,285,400","983,383","10,268,783",0.72,"12,854,779",0,"9,285,400"
2881,富邦金,Jun-21,"269,949,137","32,403,162","81,178,143","103,177,069","13,442,624","89,734,445","21,984,011","111,718,456",8.34,"10,222,194","2,915,986","89,734,445"
2882,國泰金,Jun-21,"345,776,441","40,938,132","102,858,694","104,188,354","12,672,341","91,516,013","-61,856,235","29,659,778",6.66,"13,169,210","3,390,924","91,516,013"
2883,開發金,Jun-21,"98,712,579","17,651,356","34,932,926","26,691,816","2,254,306","24,437,510","-25,545,671","-1,108,161",1.14,"14,916,324",0,"24,437,510"
2884,玉山金,Jun-21,"28,040,571","15,582,754","17,249,975","12,148,239","1,892,657","10,255,582","362,088","10,617,670",0.81,"12,579,166",0,"10,255,582"
2885,元大金,Jun-21,"67,915,129","27,981,767","18,007,343","26,400,695","4,748,008","21,652,687","-2,504,217","19,148,470",1.62,"12,137,436",0,"21,652,687"
2886,兆豐金,Jun-21,"29,244,718","14,809,090","21,145,134","14,384,075","1,876,081","12,507,994","765,218","13,273,212",0.92,"13,599,824",0,"12,507,587"
2887,台新金,Jun-21,"28,045,246","13,287,150","15,524,335","14,299,881","1,346,860","12,953,021","-812,165","12,140,856",1.11,"10,913,506","871,527","12,953,021"
2888,新光金,Jun-21,"114,706,740","13,429,063","53,077,593","10,363,395","-3,253,164","13,616,559","-7,714,940","5,901,619",1.04,"13,016,113",0,"13,616,559"
2889,國票金,Jun-21,"5,265,616","2,136,257","1,683,800","3,143,292","567,933","2,575,359","-747,741","1,827,618",0.79,"2,886,482",0,"2,574,775"
2890,永豐金,Jun-21,"22,903,361","12,374,162","15,315,878","9,722,055","1,134,046","8,588,009","-325,436","8,262,573",0.76,"11,271,054",0,"8,588,009"
2891,中信金,Jun-21,"85,600,216","35,403,797","60,816,830","37,468,965","4,018,869","33,450,096","-9,793,984","23,656,112",1.72,"19,496,990",0,"33,450,096"
2892,第一金,Jun-21,"31,341,872","12,282,363","21,725,427","12,853,628","1,940,464","10,913,164","-2,941,430","7,971,734",0.85,"12,835,801",0,"10,917,729"
5880,合庫金,Jun-21,"26,459,972","12,648,370","24,605,981","12,095,587","1,895,710","10,199,877","651,228","10,851,105",0.73,"13,334,224",0,"10,199,877"
2880,華南金,Mar-21,"12,412,872","6,789,140","8,828,271","4,695,647","659,615","4,036,032","-31,605","4,004,427",0.31,"12,854,779",0,"4,036,032"
2881,富邦金,Mar-21,"148,254,997","15,134,029","40,210,382","59,750,607","7,669,665","52,080,942","996,032","53,076,974",5.01,"10,233,110",0,"52,080,942"
2882,國泰金,Mar-21,"189,607,853","20,574,483","51,371,075","63,863,530","6,296,930","57,566,600","-96,639,472","-39,072,872",4.36,"13,169,210",0,"57,566,600"
2883,開發金,Mar-21,"53,207,692","9,235,367","17,787,370","16,496,540","1,680,827","14,815,713","-31,793,895","-16,978,182",0.66,"14,866,865",0,"14,815,713"
2884,玉山金,Mar-21,"13,697,579","7,817,030","8,546,806","6,238,438","1,031,677","5,206,761","210,963","5,417,724",0.41,"12,571,650",0,"5,206,761"
2885,元大金,Mar-21,"34,590,727","13,556,317","8,901,976","13,936,149","3,180,706","10,755,443","-2,307,909","8,447,534",0.78,"12,137,436",0,"10,755,443"
2886,兆豐金,Mar-21,"14,589,571","7,248,865","10,501,992","7,315,215","1,093,607","6,221,608","-2,486,713","3,734,895",0.46,"13,599,824",0,"6,221,170"
2887,台新金,Mar-21,"11,984,967","6,493,813","7,746,906","5,211,749","737,853","4,473,896","-1,055,368","3,418,528",0.37,"10,913,392","433,356","4,473,896"
